trial_id,uuid,detected,detected_start,detected_end,detected_duration_s,median_RSSI,max_RSSI
Trial_004,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_004,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_004,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_004,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_004,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_004,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_004,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_005,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_005,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_005,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_005,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_005,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_005,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_005,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_005,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_005,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_005,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_005,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_005,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_006,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_006,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_006,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_006,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_006,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_006,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_006,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_006,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_006,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_006,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_006,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
Trial_006,403841af-d006-4ce8-854d-b6ab105f150f,False,,,0.0,,
